Name;Group;Artifact;Version;Type;SHA1;Description;Licenses;Match Type;Product;Project;
web3j-v4.8.8;web3j;web3j;v4.8.8;Source Library;7054ab324cab0d44a759780e61ee12978fd17490;Lightweight Java and Android library for integration with Ethereum clients;Apache 2.0;Best Match;web3j_produc;web3j_project (Direct Dependency);
https://source.codeaurora.org/quic/la/platform/libcore/-jdk11u/jdk-11.0.8-ga;;https://source.codeaurora.org/quic/la/platform/libcore/;jdk11u/jdk-11.0.8-ga;Source Library;d3f69c8fff90967c7851705ea71626f48fd7136b;;Apache 2.0, GPL 2.0, LGPL 2.1;Best Match;web3j_produc;web3j_project (Direct Dependency);
org.jacoco.agent-0.8.4.jar;org.jacoco;org.jacoco.agent;0.8.4;Java;869021a6d90cfb008b12e83fccbe42eca29e5355;JaCoCo Agent;Eclipse 1.0;Exact Match;web3j_produc;web3j_project (Direct Dependency);
jszip-utils-0.0.2.js;jszip-utils;jszip-utils-0.0.2.js;0.0.2;JavaScript;c0cb9e38bb791d553e6878c594d4109f882a3c03;A collection of cross-browser utilities to go along with JSZip.;GPL 3.0, MIT;Exact Match;web3j_produc;web3j_project (Direct Dependency);
jszip-3.2.2.min.js;jszip;jszip-3.2.2.min.js;3.2.2;JavaScript;3437dfa4dce6aa98c78ff6768de5694a70768892;Create, read and edit .zip files with Javascript http://stuartk.com/jszip;GPL 3.0, MIT;Exact Match;web3j_produc;web3j_project (Direct Dependency);
jszip-utils-ie-0.0.2.min.js;jszip-utils;jszip-utils-ie-0.0.2.min.js;0.0.2;JavaScript;e0a663d0132a1ca9fe45a301643a77001d8067ef;A collection of cross-browser utilities to go along with JSZip.;GPL 3.0, MIT;Exact Match;web3j_produc;web3j_project (Direct Dependency);
jszip-utils-0.0.2.min.js;jszip-utils;jszip-utils-0.0.2.min.js;0.0.2;JavaScript;7fa938be83510f79f77d50f201b943d6f83c7770;A collection of cross-browser utilities to go along with JSZip.;GPL 3.0, MIT;Exact Match;web3j_produc;web3j_project (Direct Dependency);
jszip-utils-ie-0.0.2.js;jszip-utils;jszip-utils-ie-0.0.2.js;0.0.2;JavaScript;adcfa105db7bb096d36e489aff5a4f75cc88a4b7;A collection of cross-browser utilities to go along with JSZip.;GPL 3.0, MIT;Exact Match;web3j_produc;web3j_project (Direct Dependency);
jszip-3.2.1.js;jszip;jszip-3.2.1.js;3.2.1;JavaScript;2f46d4b06054852cdde51cee3764f71b8658da87;Create, read and edit .zip files with Javascript http://stuartk.com/jszip;GPL 3.0, MIT;Exact Match;web3j_produc;web3j_project (Direct Dependency);
jquery-3.5.1.js;jquery;jquery-3.5.1.js;3.5.1;JavaScript;ad16c4a132ad2a03b4951185fed46d55397b5e88;JavaScript library for DOM operations;MIT;Exact Match;web3j_produc;web3j_project (Direct Dependency);
package-search-index.zip;;package-search-index.zip;;Unknown Library;3060a6f7ce45ed1160126f34ede8440e5189cbd3;;Requires Review;Exact Match;web3j_produc;web3j_project (Direct Dependency);
codegen-4.8.7-SNAPSHOT-tests.jar;;codegen-4.8.7-SNAPSHOT-tests.jar;;Java;ed70d608f124d415c56fc91ff76c5c3b6ac6221a;;Requires Review;Exact Match;web3j_produc;web3j_project (Direct Dependency);
integration-tests-4.8.7-SNAPSHOT.jar;;integration-tests-4.8.7-SNAPSHOT.jar;;Java;90ab9587f66d674de3e81b42b3b9b65e148d7032;;Requires Review;Exact Match;web3j_produc;web3j_project (Direct Dependency);
eea-4.8.7-SNAPSHOT-tests.jar;;eea-4.8.7-SNAPSHOT-tests.jar;;Java;80fd17ac38518ec2f7acebdeeb11f0fc9e458394;;Requires Review;Exact Match;web3j_produc;web3j_project (Direct Dependency);
member-search-index.zip;;member-search-index.zip;;Unknown Library;f20869d279ba1873e3f32a39930b60c1347e938e;;Requires Review;Exact Match;web3j_produc;web3j_project (Direct Dependency);
type-search-index.zip;;type-search-index.zip;;Unknown Library;682728dc3acbd4fcf2c42b9dadd31b84e06f8e43;;Requires Review;Exact Match;web3j_produc;web3j_project (Direct Dependency);
member-search-index.zip;;member-search-index.zip;;Unknown Library;a9260a08148d1eba1027d1a013af4a993156e335;;Requires Review;Exact Match;web3j_produc;web3j_project (Direct Dependency);
member-search-index.zip;;member-search-index.zip;;Unknown Library;0cea841ad0047e7affc8c1ee7c8230e41a6ad379;;Requires Review;Exact Match;web3j_produc;web3j_project (Direct Dependency);
core-4.8.7-SNAPSHOT.jar;;core-4.8.7-SNAPSHOT.jar;;Java;fb7ccdf5c2fca2d91ffb1dab933930714d0d7374;;Requires Review;Exact Match;web3j_produc;web3j_project (Direct Dependency);
rlp-4.8.7-SNAPSHOT-tests.jar;;rlp-4.8.7-SNAPSHOT-tests.jar;;Java;9d5f686148fc6396601ed985470f06376ffe86ab;;Requires Review;Exact Match;web3j_produc;web3j_project (Direct Dependency);
