Name;Group;Artifact;Version;Type;SHA1;Description;Licenses;Match Type;Product;Project;
teku-21.11.0;ConsenSys;teku;21.11.0;Source Library;e615b6e4802c094cdeeb7a892cd400f373c1810b;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;remote (Direct Dependency);
teku-21.9.2;ConsenSys;teku;21.9.2;Source Library;abedfab2c95dde713123b9c8586c9c8f83d6dcf5;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;spec (Direct Dependency);
teku-21.9.2;ConsenSys;teku;21.9.2;Source Library;abedfab2c95dde713123b9c8586c9c8f83d6dcf5;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;beaconchain (Direct Dependency);
teku-21.9.2;ConsenSys;teku;21.9.2;Source Library;abedfab2c95dde713123b9c8586c9c8f83d6dcf5;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;beaconrestapi (Direct Dependency);
teku-21.9.2;ConsenSys;teku;21.9.2;Source Library;abedfab2c95dde713123b9c8586c9c8f83d6dcf5;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;serializer (Direct Dependency);
teku-21.9.2;ConsenSys;teku;21.9.2;Source Library;abedfab2c95dde713123b9c8586c9c8f83d6dcf5;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;eth-benchmark-tests (Direct Dependency);
teku-21.9.2;ConsenSys;teku;21.9.2;Source Library;abedfab2c95dde713123b9c8586c9c8f83d6dcf5;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;io (Direct Dependency);
teku-21.9.2;ConsenSys;teku;21.9.2;Source Library;abedfab2c95dde713123b9c8586c9c8f83d6dcf5;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;coordinator (Direct Dependency);
teku-21.9.2;ConsenSys;teku;21.9.2;Source Library;abedfab2c95dde713123b9c8586c9c8f83d6dcf5;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;p2p (Direct Dependency);
teku-21.9.2;ConsenSys;teku;21.9.2;Source Library;abedfab2c95dde713123b9c8586c9c8f83d6dcf5;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;eth-reference-tests (Direct Dependency);
teku-21.9.2;ConsenSys;teku;21.9.2;Source Library;abedfab2c95dde713123b9c8586c9c8f83d6dcf5;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;statetransition (Direct Dependency);
teku-21.12.2;ConsenSys;teku;21.12.2;Source Library;5df1b1319d66a0bb430f63c541d72805b33b2c6f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;signingrecord (Direct Dependency);
teku-21.12.2;ConsenSys;teku;21.12.2;Source Library;5df1b1319d66a0bb430f63c541d72805b33b2c6f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;exceptions (Direct Dependency);
teku-21.12.2;ConsenSys;teku;21.12.2;Source Library;5df1b1319d66a0bb430f63c541d72805b33b2c6f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;unsigned (Direct Dependency);
teku-21.12.2;ConsenSys;teku;21.12.2;Source Library;5df1b1319d66a0bb430f63c541d72805b33b2c6f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;crypto (Direct Dependency);
teku-21.12.2;ConsenSys;teku;21.12.2;Source Library;5df1b1319d66a0bb430f63c541d72805b33b2c6f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;teku - 1 (Direct Dependency);
teku-21.12.2;ConsenSys;teku;21.12.2;Source Library;5df1b1319d66a0bb430f63c541d72805b33b2c6f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;weaksubjectivity (Direct Dependency);
teku-21.12.2;ConsenSys;teku;21.12.2;Source Library;5df1b1319d66a0bb430f63c541d72805b33b2c6f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;time (Direct Dependency);
teku-21.12.2;ConsenSys;teku;21.12.2;Source Library;5df1b1319d66a0bb430f63c541d72805b33b2c6f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;eventadapter (Direct Dependency);
teku-21.12.2;ConsenSys;teku;21.12.2;Source Library;5df1b1319d66a0bb430f63c541d72805b33b2c6f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;yaml (Direct Dependency);
teku-21.12.2;ConsenSys;teku;21.12.2;Source Library;5df1b1319d66a0bb430f63c541d72805b33b2c6f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;timer (Direct Dependency);
teku-21.12.2;ConsenSys;teku;21.12.2;Source Library;5df1b1319d66a0bb430f63c541d72805b33b2c6f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;api (Direct Dependency);
teku-21.12.2;ConsenSys;teku;21.12.2;Source Library;5df1b1319d66a0bb430f63c541d72805b33b2c6f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;collections (Direct Dependency);
teku-21.12.2;ConsenSys;teku;21.12.2;Source Library;5df1b1319d66a0bb430f63c541d72805b33b2c6f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;subscribers (Direct Dependency);
teku-21.12.2;ConsenSys;teku;21.12.2;Source Library;5df1b1319d66a0bb430f63c541d72805b33b2c6f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;events (Direct Dependency);
teku-21.12.2;ConsenSys;teku;21.12.2;Source Library;5df1b1319d66a0bb430f63c541d72805b33b2c6f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;events - 1 (Direct Dependency);
teku-21.10.1;ConsenSys;teku;21.10.1;Source Library;b176b1bbee8a75c0b941f6c3b418df2d55da350f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;acceptance-tests (Direct Dependency);
teku-21.10.1;ConsenSys;teku;21.10.1;Source Library;b176b1bbee8a75c0b941f6c3b418df2d55da350f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;dataproviders (Direct Dependency);
teku-21.10.1;ConsenSys;teku;21.10.1;Source Library;b176b1bbee8a75c0b941f6c3b418df2d55da350f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;provider (Direct Dependency);
teku-21.10.1;ConsenSys;teku;21.10.1;Source Library;b176b1bbee8a75c0b941f6c3b418df2d55da350f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;api - 1 (Direct Dependency);
teku-21.10.1;ConsenSys;teku;21.10.1;Source Library;b176b1bbee8a75c0b941f6c3b418df2d55da350f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;api - 2 (Direct Dependency);
teku-21.10.1;ConsenSys;teku;21.10.1;Source Library;b176b1bbee8a75c0b941f6c3b418df2d55da350f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;eth-tests (Direct Dependency);
teku-21.10.1;ConsenSys;teku;21.10.1;Source Library;b176b1bbee8a75c0b941f6c3b418df2d55da350f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;core (Direct Dependency);
teku-21.10.1;ConsenSys;teku;21.10.1;Source Library;b176b1bbee8a75c0b941f6c3b418df2d55da350f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;storage (Direct Dependency);
teku-21.10.1;ConsenSys;teku;21.10.1;Source Library;b176b1bbee8a75c0b941f6c3b418df2d55da350f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;logging (Direct Dependency);
teku-21.10.1;ConsenSys;teku;21.10.1;Source Library;b176b1bbee8a75c0b941f6c3b418df2d55da350f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;publisher (Direct Dependency);
teku-21.10.1;ConsenSys;teku;21.10.1;Source Library;b176b1bbee8a75c0b941f6c3b418df2d55da350f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;eth2 (Direct Dependency);
teku-21.10.1;ConsenSys;teku;21.10.1;Source Library;b176b1bbee8a75c0b941f6c3b418df2d55da350f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;protoarray (Direct Dependency);
teku-21.10.1;ConsenSys;teku;21.10.1;Source Library;b176b1bbee8a75c0b941f6c3b418df2d55da350f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;ssz (Direct Dependency);
teku-21.10.1;ConsenSys;teku;21.10.1;Source Library;b176b1bbee8a75c0b941f6c3b418df2d55da350f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;sync (Direct Dependency);
teku-21.10.1;ConsenSys;teku;21.10.1;Source Library;b176b1bbee8a75c0b941f6c3b418df2d55da350f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;client (Direct Dependency);
teku-21.10.1;ConsenSys;teku;21.10.1;Source Library;b176b1bbee8a75c0b941f6c3b418df2d55da350f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;async (Direct Dependency);
teku-21.10.1;ConsenSys;teku;21.10.1;Source Library;b176b1bbee8a75c0b941f6c3b418df2d55da350f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;util (Direct Dependency);
teku-21.10.1;ConsenSys;teku;21.10.1;Source Library;b176b1bbee8a75c0b941f6c3b418df2d55da350f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;teku (Direct Dependency);
teku-21.10.1;ConsenSys;teku;21.10.1;Source Library;b176b1bbee8a75c0b941f6c3b418df2d55da350f;Java Implementation of the Ethereum 2.0 Beacon Chain;Apache 2.0;Best Match;teku_produc;http (Direct Dependency);
commons-math3-3.2.jar;org.apache.commons;commons-math3;3.2;Java;ec2544ab27e110d2d431bdad7d538ed509b21e62;The Math project is a library of lightweight, self-contained mathematics and statistics components addressing the most common practical problems not immediately available in the Java programming language or commons-lang.;Apache 2.0;Exact Match;teku_produc;ssz (Transitive Dependency);
commons-math3-3.2.jar;org.apache.commons;commons-math3;3.2;Java;ec2544ab27e110d2d431bdad7d538ed509b21e62;The Math project is a library of lightweight, self-contained mathematics and statistics components addressing the most common practical problems not immediately available in the Java programming language or commons-lang.;Apache 2.0;Exact Match;teku_produc;eth-benchmark-tests (Transitive Dependency);
msg-simple-1.1.jar;com.github.fge;msg-simple;1.1;Java;f261263e13dd4cfa93cc6b83f1f58f619097a2c4;null;Apache 2.0;Exact Match;teku_produc;acceptance-tests (Transitive Dependency);
msg-simple-1.1.jar;com.github.fge;msg-simple;1.1;Java;f261263e13dd4cfa93cc6b83f1f58f619097a2c4;null;Apache 2.0;Exact Match;teku_produc;beaconchain (Transitive Dependency);
