Library;Type;Project;Product;Description;Details;Status;Library Type;Creation Time;Modified Date;Changed Status - Comment;Changed Status - User
commons-lang3-3.10.jar;New Version;fork-choice-tests;teku_produc;Version 3.12.0 is available;;Active;Java;04-01-2022;04-01-2022;;
junit-jupiter-api-5.6.2.jar;New Version;fork-choice-tests;teku_produc;Version 5.8.2 is available;;Active;Java;04-01-2022;04-01-2022;;
junit-jupiter-engine-5.6.2.jar;New Version;fork-choice-tests;teku_produc;Version 5.8.2 is available;;Active;Java;04-01-2022;04-01-2022;;
junit-jupiter-params-5.6.2.jar;New Version;fork-choice-tests;teku_produc;Version 5.8.2 is available;;Active;Java;04-01-2022;04-01-2022;;
assertj-core-3.16.1.jar;New Version;fork-choice-tests;teku_produc;Version 3.21.0 is available;;Active;Java;04-01-2022;04-01-2022;;
log4j-api-2.13.3.jar;New Version;fork-choice-tests;teku_produc;Version 2.17.1 is available;;Active;Java;04-01-2022;04-01-2022;;
log4j-slf4j-impl-2.13.3.jar;New Version;fork-choice-tests;teku_produc;Version 2.17.0 is available;;Active;Java;04-01-2022;04-01-2022;;
log4j-core-2.13.3.jar;New Version;fork-choice-tests;teku_produc;Version 2.17.0 is available;;Active;Java;04-01-2022;04-01-2022;;
jackson-databind-2.11.2.jar;New Version;fork-choice-tests;teku_produc;Version 2.13.1 is available;;Active;Java;04-01-2022;04-01-2022;;
jackson-dataformat-yaml-2.11.2.jar;New Version;fork-choice-tests;teku_produc;Version 2.13.1 is available;;Active;Java;04-01-2022;04-01-2022;;
mockito-core-3.11.2.jar;New Version;fork-choice-tests;teku_produc;Version 4.1.0 is available;;Active;Java;04-01-2022;04-01-2022;;
guava-30.1.1-jre.jar;New Version;fork-choice-tests;teku_produc;Version 31.0.1-jre is available;;Active;Java;04-01-2022;04-01-2022;;
tuweni-bytes-1.0.0.jar;New Version;fork-choice-tests;teku_produc;Version 2.0.0 is available;;Active;Java;04-01-2022;04-01-2022;;
tuweni-junit-1.0.0.jar;New Version;fork-choice-tests;teku_produc;Version 2.0.0 is available;;Active;Java;04-01-2022;04-01-2022;;
error_prone_core-2.7.1.jar;New Version;fork-choice-tests;teku_produc;Version 2.10.0 is available;;Active;Java;04-01-2022;04-01-2022;;
bcprov-jdk15on-1.69.jar;New Version;bls;teku_produc;Version 1.70 is available;;Active;Java;04-01-2022;04-01-2022;;
